name,email,password
Emilia Vharat,emilia.vharat@yorku.ca,EMC
Ardenia Viddah,ardenia.viddah@yorku.ca,gxa
Kary Cherianne,kary.cherianne@yorku.ca,FAV
Patricia Magnolia,patricia.magnolia@yorku.ca,qHm
Maisey Alwin,maisey.alwin@yorku.ca,xCT
Betta Schonfeld,betta.schonfeld@yorku.ca,xyD
Emmey Larochelle,emmey.larochelle@yorku.ca,vgp
Lorie Schroth,lorie.schroth@yorku.ca,qUr
Laure Faria,laure.faria@yorku.ca,cLv
Sabina Parsaye,sabina.parsaye@yorku.ca,gVa
Drucie Judye,drucie.judye@yorku.ca,fcv
Alleen Wilona,alleen.wilona@yorku.ca,PYX
Test User1,t1@yorku.ca,t1t1
Test User2,t2@yorku.ca,t2t2
Test User3,t3@yorku.ca,t3t3
